source,target,value
Emergency Management Directors,Complex Problem Solving,4
Emergency Management Directors,Operations Analysis,2.88
Emergency Management Directors,Technology Design,1.5
Emergency Management Directors,Equipment Selection,1.12
Emergency Management Directors,Installation,1
Emergency Management Directors,Programming,1.62
Emergency Management Directors,Operation Monitoring,2.12
Emergency Management Directors,Operation and Control,2.12
Emergency Management Directors,Equipment Maintenance,1
Emergency Management Directors,Troubleshooting,1.62
Emergency Management Directors,Repairing,1
Emergency Management Directors,Quality Control Analysis,2.38
Emergency Management Directors,Judgment and Decision Making,3.88
Emergency Management Directors,Systems Analysis,3.62
Emergency Management Directors,Systems Evaluation,3.38
Emergency Management Directors,Time Management,3.5
Emergency Management Directors,Management of Financial Resources,2.75
Emergency Management Directors,Management of Material Resources,2.88
Emergency Management Directors,Management of Personnel Resources,3.38
Regulatory Affairs Managers,Reading Comprehension,4.12
Regulatory Affairs Managers,Active Listening,3.88
Regulatory Affairs Managers,Writing,4
Regulatory Affairs Managers,Speaking,4
Regulatory Affairs Managers,Mathematics,2.5
Regulatory Affairs Managers,Science,2.5
Regulatory Affairs Managers,Critical Thinking,3.88
Regulatory Affairs Managers,Active Learning,3.38
Regulatory Affairs Managers,Learning Strategies,2.88
Regulatory Affairs Managers,Monitoring,3.75
Regulatory Affairs Managers,Social Perceptiveness,3.38
Regulatory Affairs Managers,Coordination,3.75
Regulatory Affairs Managers,Persuasion,3.38
Regulatory Affairs Managers,Negotiation,3.5
Regulatory Affairs Managers,Instructing,3.5
Regulatory Affairs Managers,Service Orientation,3.12
Regulatory Affairs Managers,Complex Problem Solving,3.5
Regulatory Affairs Managers,Operations Analysis,3.38
Regulatory Affairs Managers,Technology Design,1.38
Regulatory Affairs Managers,Equipment Selection,1
Regulatory Affairs Managers,Installation,1
Regulatory Affairs Managers,Programming,1.38
Regulatory Affairs Managers,Operation Monitoring,1.75
Regulatory Affairs Managers,Operation and Control,1.25
Regulatory Affairs Managers,Equipment Maintenance,1
Regulatory Affairs Managers,Troubleshooting,1
Regulatory Affairs Managers,Repairing,1
Regulatory Affairs Managers,Quality Control Analysis,1.12
Regulatory Affairs Managers,Judgment and Decision Making,3.88
Regulatory Affairs Managers,Systems Analysis,3.62
Regulatory Affairs Managers,Systems Evaluation,3.38
Regulatory Affairs Managers,Time Management,3.75
Regulatory Affairs Managers,Management of Financial Resources,2.12
Regulatory Affairs Managers,Management of Material Resources,2
Regulatory Affairs Managers,Management of Personnel Resources,3.5
Compliance Managers,Reading Comprehension,4
Compliance Managers,Active Listening,3.88
Compliance Managers,Writing,3.75
Compliance Managers,Speaking,3.62
Compliance Managers,Mathematics,2.12
Compliance Managers,Science,1.38
Compliance Managers,Critical Thinking,4
Compliance Managers,Active Learning,3.62
Compliance Managers,Learning Strategies,3.38
Compliance Managers,Monitoring,3.88
Compliance Managers,Social Perceptiveness,3.62
Compliance Managers,Coordination,3.75
Compliance Managers,Persuasion,3.5
Compliance Managers,Negotiation,3.38
Compliance Managers,Instructing,3.38
Compliance Managers,Service Orientation,2.88
Compliance Managers,Complex Problem Solving,3.25
Compliance Managers,Operations Analysis,1.88
Compliance Managers,Technology Design,1.62
Compliance Managers,Equipment Selection,1
Compliance Managers,Installation,1
Compliance Managers,Programming,1.62
Compliance Managers,Operation Monitoring,2
Compliance Managers,Operation and Control,1.25
Compliance Managers,Equipment Maintenance,1
Compliance Managers,Troubleshooting,1
Compliance Managers,Repairing,1
Compliance Managers,Quality Control Analysis,1.75
Compliance Managers,Judgment and Decision Making,3.5
Compliance Managers,Systems Analysis,3
Compliance Managers,Systems Evaluation,3
Compliance Managers,Time Management,3.25
Compliance Managers,Management of Financial Resources,2.12
Compliance Managers,Management of Material Resources,1.88
Compliance Managers,Management of Personnel Resources,2.88
Investment Fund Managers,Reading Comprehension,4
Investment Fund Managers,Active Listening,4
Investment Fund Managers,Writing,3.62
Investment Fund Managers,Speaking,3.88
Investment Fund Managers,Mathematics,3.38
Investment Fund Managers,Science,1
Investment Fund Managers,Critical Thinking,4
Investment Fund Managers,Active Learning,3.75
Investment Fund Managers,Learning Strategies,2.88
Investment Fund Managers,Monitoring,3.5
Investment Fund Managers,Social Perceptiveness,3
Investment Fund Managers,Coordination,3.12
Investment Fund Managers,Persuasion,3.12
Investment Fund Managers,Negotiation,3
Investment Fund Managers,Instructing,3
Investment Fund Managers,Service Orientation,2.88
Investment Fund Managers,Complex Problem Solving,3.75
Investment Fund Managers,Operations Analysis,2
Investment Fund Managers,Technology Design,1.88
Investment Fund Managers,Equipment Selection,1
Investment Fund Managers,Installation,1
Investment Fund Managers,Programming,1.75
Investment Fund Managers,Operation Monitoring,1.88
Investment Fund Managers,Operation and Control,1
Investment Fund Managers,Equipment Maintenance,1
Investment Fund Managers,Troubleshooting,1
Investment Fund Managers,Repairing,1
Investment Fund Managers,Quality Control Analysis,1.5
Investment Fund Managers,Judgment and Decision Making,3.88
Investment Fund Managers,Systems Analysis,3.38
Investment Fund Managers,Systems Evaluation,3.25
Investment Fund Managers,Time Management,3.25
Investment Fund Managers,Management of Financial Resources,2.75
Investment Fund Managers,Management of Material Resources,2.25
Investment Fund Managers,Management of Personnel Resources,2.88
Supply Chain Managers,Reading Comprehension,4
Supply Chain Managers,Active Listening,4
Supply Chain Managers,Writing,3.62
Supply Chain Managers,Speaking,4
Supply Chain Managers,Mathematics,2.88
Supply Chain Managers,Science,1
Supply Chain Managers,Critical Thinking,3.75
Supply Chain Managers,Active Learning,3.5
Supply Chain Managers,Learning Strategies,3
Supply Chain Managers,Monitoring,3.88
Supply Chain Managers,Social Perceptiveness,3.62
Supply Chain Managers,Coordination,3.88
Supply Chain Managers,Persuasion,3.5
Supply Chain Managers,Negotiation,3.5
Supply Chain Managers,Instructing,3.25
Supply Chain Managers,Service Orientation,3.12
Supply Chain Managers,Complex Problem Solving,3.88
Supply Chain Managers,Operations Analysis,2
Supply Chain Managers,Technology Design,1.62
Supply Chain Managers,Equipment Selection,1
Supply Chain Managers,Installation,1
Supply Chain Managers,Programming,1.5
Supply Chain Managers,Operation Monitoring,1.88
Supply Chain Managers,Operation and Control,1
Supply Chain Managers,Equipment Maintenance,1
Supply Chain Managers,Troubleshooting,1
Supply Chain Managers,Repairing,1
Supply Chain Managers,Quality Control Analysis,1.5
Supply Chain Managers,Judgment and Decision Making,3.75
Supply Chain Managers,Systems Analysis,3.62
Supply Chain Managers,Systems Evaluation,3.62
Supply Chain Managers,Time Management,3.62
Supply Chain Managers,Management of Financial Resources,2.88
Supply Chain Managers,Management of Material Resources,3.5
Supply Chain Managers,Management of Personnel Resources,3.38
Security Managers,Reading Comprehension,4
Security Managers,Active Listening,3.88
Security Managers,Writing,3.75
Security Managers,Speaking,4
Security Managers,Mathematics,2.38
Security Managers,Science,1.62
Security Managers,Critical Thinking,4
Security Managers,Active Learning,3.25
Security Managers,Learning Strategies,2.88
Security Managers,Monitoring,3.62
Security Managers,Social Perceptiveness,3.62
Security Managers,Coordination,3.38
Security Managers,Persuasion,3.12
Security Managers,Negotiation,3.12
Security Managers,Instructing,3.25
Security Managers,Service Orientation,3.12
Security Managers,Complex Problem Solving,3.62
Security Managers,Operations Analysis,2.12
Security Managers,Technology Design,1.75
Security Managers,Equipment Selection,1.38
Security Managers,Installation,1.12
Security Managers,Programming,1.75
Security Managers,Operation Monitoring,2.5
Security Managers,Operation and Control,2.12
Security Managers,Equipment Maintenance,1.12
Security Managers,Troubleshooting,1.88
Security Managers,Repairing,1
Security Managers,Quality Control Analysis,2.75
Security Managers,Judgment and Decision Making,3.75
Security Managers,Systems Analysis,3.5
Security Managers,Systems Evaluation,3.25
Security Managers,Time Management,3.38
Security Managers,Management of Financial Resources,2.75
Security Managers,Management of Material Resources,2.62
Security Managers,Management of Personnel Resources,3.38
Loss Prevention Managers,Reading Comprehension,4
Loss Prevention Managers,Active Listening,4
Loss Prevention Managers,Writing,3.88
Loss Prevention Managers,Speaking,4
Loss Prevention Managers,Mathematics,2.5
Loss Prevention Managers,Science,1
Loss Prevention Managers,Critical Thinking,4
Loss Prevention Managers,Active Learning,3.5
Loss Prevention Managers,Learning Strategies,3.38
Loss Prevention Managers,Monitoring,4
Loss Prevention Managers,Social Perceptiveness,3.62
Loss Prevention Managers,Coordination,3.88
Loss Prevention Managers,Persuasion,3.75
Loss Prevention Managers,Negotiation,3.5
Loss Prevention Managers,Instructing,3.75
Loss Prevention Managers,Service Orientation,3.5
Loss Prevention Managers,Complex Problem Solving,3.62
Loss Prevention Managers,Operations Analysis,1.88
Loss Prevention Managers,Technology Design,1.88
Loss Prevention Managers,Equipment Selection,1.12
Loss Prevention Managers,Installation,1.12
Loss Prevention Managers,Programming,1.75
Loss Prevention Managers,Operation Monitoring,2.62
Loss Prevention Managers,Operation and Control,2.12
Loss Prevention Managers,Equipment Maintenance,1.12
Loss Prevention Managers,Troubleshooting,2
Loss Prevention Managers,Repairing,1
Loss Prevention Managers,Quality Control Analysis,2.5
Loss Prevention Managers,Judgment and Decision Making,3.88
Loss Prevention Managers,Systems Analysis,3.62
Loss Prevention Managers,Systems Evaluation,3.62
Loss Prevention Managers,Time Management,3.88
Loss Prevention Managers,Management of Financial Resources,2.12
Loss Prevention Managers,Management of Material Resources,2.38
Loss Prevention Managers,Management of Personnel Resources,3.5
Brownfield Redevelopment Specialists and Site Managers,Reading Comprehension,3.88
Brownfield Redevelopment Specialists and Site Managers,Active Listening,3.75
Brownfield Redevelopment Specialists and Site Managers,Writing,3.75
Brownfield Redevelopment Specialists and Site Managers,Speaking,4
Brownfield Redevelopment Specialists and Site Managers,Mathematics,3.5
Brownfield Redevelopment Specialists and Site Managers,Science,2.62
Brownfield Redevelopment Specialists and Site Managers,Critical Thinking,4
